Buffalo Wild Wings, 2012 North State Route 50, Bourbonnais, IL 60914 ,41.185586,-87.850849
Heroes West Sports Grill, 1530 Commerce Lane, Joliet, IL 60431 ,41.492726,-88.169997
Buffalo Wild Wings, 20596 S. LaGrange Rd, Frankfort, IL 60423 ,41.516414,-87.850516
Jameson's Pub, 2755 Black Road, Joliet, IL 60435 ,41.53745,-88.148627
Buffalo Wild Wings, 1023 Brookforest Dr, Shorewood, IL 60404 ,41.5410468,-88.199473
Boston's Pizza & Sports Bar, 7216 W. 191st St, Tinley Park, IL 60477 ,41.545114,-87.79326
Buffalo Wild Wings, 7301 West 183rd St, Tinley Park, IL 60477 ,41.557967,-87.795441
Buffalo Wild Wings, 3720 Ridge Rd, Lansing, IL 60438 ,41.563884,-87.526355
Bottoms Up Sports Bar & Grill, 1696 Thorton-Lansing Rd, Lansing, IL 60438 ,41.5702722,-87.578656
Buffalo Wild Wings, 1250 Torrence Avenue, Calumet City, IL 60409 ,41.599915,-87.5595079
Buffalo Wild Wings, 15888 La Grange Rd, Orland Park, IL 60462 ,41.6022844,-87.8530423
Blarney Stone Pub, 15400 Cicero Ave, Oak Forest, IL 60452 ,41.6123852,-87.7368867
Buffalo Wild Wings, 74 S. Weber Rd, Romeoville, IL 60446 ,41.6217141,-88.1237534
Three Corners Grill & Tap, 12371 Derby Rd, Lemont, IL 60439 ,41.6637863,-87.9638937
Buffalo Wild Wings, 11820 South Route 59, Plainfield, IL 60585 ,41.6675619,-88.20482
115 Bourbon St., 3359 W. 115th St, Merrionette Park, IL 60803 ,41.6842138,-87.7033783
Buffalo Wild Wings, 1550 Douglas Rd, Oswego, IL 60543 ,41.6977124,-88.3142352
Tailgaters Sports Bar, 431 W. Boughton Rd, Bolingbrook, IL 60440 ,41.7061909,-88.0872119
Lucky's Lounge, 6605 W. 95th St, Oak Lawn, IL 60415 ,41.7195035,-87.7847555
Bar Louie, 619 E. Boughton Rd, Bolingbrook, IL 60440 ,41.7195664,-88.0425685
Buffalo Wild Wings, 777 77 East Boughton Road, Bolingbrook, IL 60440 ,41.7231942,-88.0386217
Q Billiards & Sports Bar, 8109 S. Cass Ave, Darien, IL 60561 ,41.7399511,-87.9733695
Buffalo Wild Wings, 2555 West 75th St, Naperville, IL 60540 ,41.7479017,-88.1981406
The Foundry, 85 Executive Dr, Aurora, IL 60504 ,41.75538,-88.218269
Buffalo Wild Wings, 7111 S. Kingery Hwy, Willowbrook, IL 60527 ,41.760391,-87.9447946
Fox and Hound, 4320 E. New York Ave, Aurora, IL 60504 ,41.7619719,-88.2108749
Buffalo Wild Wings, 6450 Route 53, Woodridge, IL 60517 ,41.767883,-88.0683807
Bar Louie, 22 E. Chicago Ave, Naperville, IL 60540 ,41.7711619,-88.147592
Roundheads Pizza Pub, 2001 63rd St, Downers Grove, IL 60516 ,41.772064,-88.032298
Time Out Sports Bar, 6025 S. La Grange Rd, Countryside, IL 60525 ,41.7799204,-87.8679651
Buffalo Wild Wings Grill & Bar, 1460 North Orchard Road #104, Aurora, IL 60506,41.7854765,-88.3759504
Harry's Sports Bar, 9901 W. 55th St, Countryside, IL 60525 ,41.79009,-87.866672
Evviva Bar and Eatery, 1017 Front St., Lisle, IL 60532 ,41.797024,-88.073895
Total Sports Bar, 523 Fairway Drive, Naperville, IL 60563 ,41.7980832,-88.2206249
Buffalo Wild Wings, 28241 Diehl Rd, Warrenville, IL 60555 ,41.8008425,-88.1728162
Turf Room, 650 Randall Crossing Ln, North Aurora, IL 60542 ,41.8061399,-88.3272952
Mullen's Bar & Grill, 3080 Warrenville Rd, Lisle, IL 60532 ,41.809546,-88.115547
Suburbanite Bowl, 201 W. Ogden Ave, Westmont, IL 60559 ,41.8098465,-87.9828735
Brickhouse Tavern & Tap, 1461 Butterfield Rd, Downers Grove, IL 60515 ,41.832992,-88.023245
Mitchell's Tap, 3356 S. Halsted Street, Chicago, IL 60608 ,41.833145,-87.6462977
Miller's Ale House, 455 E. Butterfield Rd, Lombard, IL 60148 ,41.8379655,-88.0027715
Rocky's Bar & Grill, 234 West 31st Street, Chicago, IL 60616 ,41.838461,-87.633033
Champps, 2301 Fountain Square Dr, Lombard, IL 60148 ,41.843825,-87.992229
260 Sports Bar, 260 W. 26th St, Chicago, IL 60616 ,41.8454952,-87.6341834
Kroll's South Loop, 1736 S. Michigan Ave, Chicago, IL 60616 ,41.8580438,-87.6241096
Roundheads Pizza Pub, 275 W. Roosevelt Rd, Lombard, IL 60148 ,41.8599406,-88.0223667
Buffalo Wild Wings, 207 E. Roosevelt Rd, Lombard, IL 60148 ,41.8601498,-88.0140397
Anyway's Restaurant, 5 E. Roosevelt Rd, Oakbrook Terrace, IL 60181 ,41.8603238,-87.9777963
Weather Mark Tavern, 1503 S. Michigan Ave, Chicago, IL 60605 ,41.8619683,-87.6238762
Junior's Sports Lounge, 724 West Maxwell Street, Chicago, IL 60607 ,41.8648093,-87.6460794
Hawkeye's Bar & Grill, 1458 W. Taylor St, Chicago, IL 60607 ,41.8694237,-87.663877
Jimmy Green's, 825 S. State St, Chicago, IL 60605 ,41.8705684,-87.6274009
Bar Louie, 47 W. Polk St, Chicago, IL 60605 ,41.8720925,-87.6294633
Alcock's, 411 S. Wells St, Chicago, IL 60604 ,41.8763919,-87.6335348
Cactus Bar & Grill, 404 S. Wells St, Chicago, IL 60607 ,41.876617,-87.633726
Franklin Tap, 325 South Franklin Street, Chicago, IL 60606 ,41.8773344,-87.635031
Johnny's IceHouse, 1350 West Madison Street, Chicago, IL 60607 ,41.8816036,-87.6615823
WestEnd, 1326 West Madison Street, Chicago, IL 60607 ,41.8817382,-87.6607651
The CrossRoads Bar & Grill, 1120 W. Madison, Chicago, IL 60607 ,41.8817672,-87.6552801
Market Bar Chicago, 1113 W. Randolph St, Chicago, IL 60607 ,41.8840981,-87.6551259
G-Cue Billiards & Restaurant, 157 N. Morgan St, Chicago, IL 60607 ,41.884759,-87.651793
Jimmy Fig's Tavern & Restaurant, 160 N. Franklin St, Chicago, IL 60644 ,41.8850241,-87.6354715
Sidebar Grille, 221 N. LaSalle St, Chicago, IL 60614 ,41.8863246,-87.6323942
Allstar Sports Bar & Grill, 205 W. Wacker Dr, Chicago, IL 60606 ,41.8867205,-87.6342175
Moe's Cantina, 155 W. Kinzie, Chicago, IL 60654 ,41.88883,-87.633208
Public House, 400 N. State St, Chicago, IL 60654 ,41.8894204,-87.6282502
Mother Hubbard's Sports Pub, 5 West Hubbard Street, Chicago, IL 60654 ,41.8899364,-87.6283664
Theory, 9 W. Hubbard St, Chicago, IL 60654 ,41.8899514,-87.6285827
Bull & Bear, 431 N. Wells St, Chicago, IL 60610 ,41.8901124,-87.6338886
Rockit Bar & Grill, 22 West Hubbard Street, Chicago, IL 60654 ,41.890308,-87.6289539
Harry Caray's Tavern, 700 East Grand Avenue, Chicago, IL 60611,41.891432,-87.608097
Fado Irish Pub, 100 W. Grand Ave, Chicago, IL 60610 ,41.8916455,-87.6311261
Buffalo Wild Wings, 820 Commons Dr, Geneva, IL 60134 ,41.8929057,-88.3416567
Timothy O'Tooles, 622 N. Fairbanks Ct, Chicago, IL 60611 ,41.8932248,-87.6202823
District Bar, 170 W. Ontario St, Chicago, IL 60654 ,41.8933431,-87.6333781
Jake Melnick's Corner Tap, 41 E. Superior St, Chicago, IL 60611 ,41.895689,-87.626384
Five Star Bar, 1424 W. Chicago Ave, Chicago, IL 60622 ,41.8962714,-87.6634913
Buffalo Wild Wings, 149 N. York St, Elmhurst, IL 60126 ,41.9014428,-87.9397959
Dave & Buster's, 1030 N. Clark St, Chicago, IL 60610 ,41.9015053,-87.631501
The Hunt Club, 1100 N. State St, Chicago, IL 60610 ,41.9021158,-87.628494
Division Ale House, 1942 West Division Street, Chicago, IL 60622 ,41.903327,-87.676558
The Boundary Tavern, 1932 W. Division Street, Chicago, IL 60622 ,41.9033476,-87.6762403
Finn McCool's, 15 W. Division St, Chicago, IL 60610 ,41.9038351,-87.6293793
McFadden's, 1206 N. State Pkwy, Chicago, IL 60610 ,41.9040635,-87.6287124
Paradise Cantina, 1212 N. State Pkwy, Chicago, IL 60610 ,41.9044492,-87.6288549
Fireplace Inn, 1448 N. Wells St, Chicago, IL 60610 ,41.9091772,-87.6348105
Benchmark, 1510 N. Wells St, Chicago, IL 60610 ,41.9095288,-87.634832
Joe's Sports Bar, 940 W. Weed St, Chicago, IL 60622 ,41.909921,-87.6520523
Uberstein, 1745 W. North Ave, Chicago, IL 60622 ,41.9104925,-87.6718647
Northside Cafe, 1635 N. Damen Ave, Chicago, IL 60647 ,41.9115384,-87.6773962
