START DATE,END DATE,START TIME (PT),START TIME (MT),START TIME (CT),START TIME (ET),END TIME (PT),END TIME (MT),END TIME (CT),END TIME (ET),SUBJEC T,AWAY TEAM,HOME TEAM,LOCATION
9/1/2011,9/1/2011,7:00 PM,8:00 PM,9:00 PM,10:00 PM,10:00 PM,11:00 PM,11:59 PM,11:59 PM,UC Davis at Arizona State,UC Davis,Arizona State,
9/1/2011,9/1/2011,4:00 PM,5:00 PM,6:00 PM,7:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,South Carolina State at Central Michigan,South Carolina State,Central Michigan,
9/1/2011,9/1/2011,4:30 PM,5:30 PM,6:30 PM,7:30 PM,7:30 PM,8:30 PM,9:30 PM,10:30 PM,Fordham at Connecticut,Fordham,Connecticut,
9/1/2011,9/1/2011,4:00 PM,5:00 PM,6:00 PM,7:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,North Texas at Florida International,North Texas,Florida International,
9/1/2011,9/1/2011,4:30 PM,5:30 PM,6:30 PM,7:30 PM,7:30 PM,8:30 PM,9:30 PM,10:30 PM,Western Carolina at Georgia Tech,Western Carolina,Georgia Tech,
9/1/2011,9/1/2011,6:00 PM,7:00 PM,8:00 PM,9:00 PM,9:00 PM,10:00 PM,11:00 PM,11:59 PM,Bowling Green at Idaho,Bowling Green,Idaho,
9/1/2011,9/1/2011,3:00 PM,4:00 PM,5:00 PM,6:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,Murray State at Louisville,Murray State,Louisville,
9/1/2011,9/1/2011,5:00 PM,6:00 PM,7:00 PM,8:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Mississippi State at Memphis,Mississippi State,Memphis,
9/1/2011,9/1/2011,4:30 PM,5:30 PM,6:30 PM,7:30 PM,7:30 PM,8:30 PM,9:30 PM,10:30 PM,North Carolina Central at Rutgers,North Carolina Central,Rutgers,
9/1/2011,9/1/2011,5:00 PM,6:00 PM,7:00 PM,8:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Wake Forest at Syracuse,Wake Forest,Syracuse,
9/1/2011,9/1/2011,4:00 PM,5:00 PM,6:00 PM,7:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,Villanova at Temple,Villanova,Temple,
9/1/2011,9/1/2011,4:00 PM,5:00 PM,6:00 PM,7:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,New Hampshire at Toledo,New Hampshire,Toledo,
9/1/2011,9/1/2011,5:00 PM,6:00 PM,7:00 PM,8:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Montana State at Utah,Montana State,Utah,
9/1/2011,9/1/2011,5:00 PM,6:00 PM,7:00 PM,8:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,UNLV at Wisconsin,UNLV,Wisconsin,
9/1/2011,9/1/2011,6:15 PM,7:15 PM,8:15 PM,9:15 PM,9:15 PM,10:15 PM,11:15 PM,11:59 PM,Kentucky vs. Western Kentucky*,none,none,neutral field
9/2/2011,9/2/2011,5:00 PM,6:00 PM,7:00 PM,8:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,TCU at Baylor,TCU,Baylor,
