Institution ID,Institution,Game Date,Opponent ID,Opponent Name,Score For,Score Against,Location
5,Akron,9/3/2011,518,Ohio St.,0,42,Away
5,Akron,9/10/2011,690,Temple,3,41,Home
5,Akron,9/17/2011,140,Cincinnati,14,59,Away
5,Akron,9/24/2011,741,VMI,36,13,Home
5,Akron,10/1/2011,204,Eastern Mich.,23,31,Away
5,Akron,10/8/2011,231,FIU,17,27,Home
5,Akron,10/22/2011,519,Ohio,20,37,Home
5,Akron,10/29/2011,129,Central Mich.,22,23,Home
5,Akron,11/3/2011,414,Miami (OH),,,Away
5,Akron,11/12/2011,331,Kent St.,,,Home
5,Akron,11/19/2011,86,Buffalo,,,Away
5,Akron,11/25/2011,774,Western Mich.,,,Away
8,Alabama,9/3/2011,331,Kent St.,48,7,Home
8,Alabama,9/10/2011,539,Penn St.,27,11,Away
8,Alabama,9/17/2011,497,North Texas,41,0,Home
8,Alabama,9/24/2011,31,Arkansas,38,14,Home
8,Alabama,10/1/2011,235,Florida,38,10,Away
8,Alabama,10/8/2011,736,Vanderbilt,34,0,Home
8,Alabama,10/15/2011,433,Ole Miss,52,7,Away
8,Alabama,10/22/2011,694,Tennessee,37,6,Home
8,Alabama,11/5/2011,365,LSU,,,Home
8,Alabama,11/12/2011,430,Mississippi St.,,,Away
8,Alabama,11/19/2011,253,Ga. Southern,,,Home
8,Alabama,11/26/2011,37,Auburn,,,Away
9,UAB,9/10/2011,235,Florida,0,39,Away
9,UAB,9/17/2011,718,Tulane,10,49,Home
9,UAB,9/24/2011,196,East Carolina,23,28,Away
9,UAB,10/1/2011,716,Troy,23,24,Away
9,UAB,10/8/2011,430,Mississippi St.,3,21,Home
9,UAB,10/15/2011,719,Tulsa,20,37,Away
9,UAB,10/20/2011,128,UCF,26,24,Home
9,UAB,10/29/2011,388,Marshall,14,59,Away
9,UAB,11/5/2011,288,Houston,,,Home
9,UAB,11/12/2011,404,Memphis,,,Away
9,UAB,11/17/2011,664,Southern Miss.,,,Home
9,UAB,11/26/2011,229,Fla. Atlantic,,,Away
28,Arizona St.,9/1/2011,108,UC Davis,48,14,Home
28,Arizona St.,9/9/2011,434,Missouri,37,30,Home
28,Arizona St.,9/17/2011,301,Illinois,14,17,Away
28,Arizona St.,9/24/2011,657,Southern California,43,22,Home
28,Arizona St.,10/1/2011,528,Oregon St.,35,20,Home
